credit_card,total_bill,Sunday,sex,time,size,tip_label
3448,48.33,0,0,1,4,> 0.12
4963,23.1,1,0,1,3,> 0.12
5925,27.18,0,1,1,2,<=0.12
3298,12.9,0,1,1,2,<=0.12
5915,10.63,0,1,1,2,> 0.12
2814,11.24,0,0,1,2,> 0.12
4381,28.55,1,0,1,3,<=0.12
3333,24.71,0,0,0,2,> 0.12
7064,20.29,0,1,1,2,> 0.12
3313,26.41,0,1,1,2,<=0.12
3298,16.4,0,1,0,2,> 0.12
810,21.5,1,0,1,4,> 0.12
1162,12.6,0,0,1,2,<=0.12
9831,30.46,1,0,1,5,<=0.12
6032,19.81,0,1,0,2,> 0.12
3893,22.82,0,0,0,3,<=0.12
5370,16.93,0,1,1,3,> 0.12
2284,25.0,1,1,1,4,> 0.12
1446,22.12,0,1,1,2,> 0.12
3631,10.34,1,0,1,3,> 0.12
2742,34.81,1,1,1,4,> 0.12
6424,7.51,0,0,0,2,> 0.12
7483,19.08,0,0,0,2,<=0.12
1114,13.13,1,0,1,2,> 0.12
1021,22.42,0,1,1,2,> 0.12
9716,12.46,0,0,1,2,> 0.12
4439,29.93,1,0,1,4,> 0.12
8727,18.28,0,0,0,2,> 0.12
6738,13.0,0,1,0,2,> 0.12
3572,14.73,0,1,1,2,> 0.12
3197,28.17,0,1,1,3,> 0.12
974,30.06,0,0,1,3,<=0.12
9919,13.42,0,1,0,2,> 0.12
2762,18.78,0,1,1,2,> 0.12
1170,17.92,0,0,1,2,> 0.12
3747,18.15,1,1,1,3,> 0.12
7053,17.07,0,1,1,3,> 0.12
3572,20.49,0,0,1,2,> 0.12
8801,14.83,1,1,1,2,> 0.12
7615,5.75,0,1,1,2,> 0.12
2220,34.63,1,0,1,2,<=0.12
9108,44.3,0,1,1,3,<=0.12
